vds;ids;eon;eoff;vdsreal;idsreal;rdson
-200;-0,1;0,00000000715051;0,0000000118807;-1,78632;-0,1;17,8632
-200;-0,125893;0,0000000101585;0,0000000140327;-1,807;-0,125893;14,3535
-200;-0,158489;0,0000000153716;0,00000000292702;-1,82772;-0,158489;11,5321
-200;-0,199526;0,000000018567;0,00000000492673;-1,84849;-0,199526;9,26437
-200;-0,251189;0,0000000261233;0,0000000295277;-1,86932;-0,251189;7,44189
-200;-0,316228;0,0000000369155;0,0000000668004;-1,89023;-0,316228;5,97743
-200;-0,398107;0,0000000435279;0,0000000343233;-1,91125;-0,398107;4,80084
-200;-0,501187;0,0000000507534;0,0000000583468;-1,9324;-0,501187;3,85564
-200;-0,630957;0,0000000624449;0,0000000790926;-1,95372;-0,630957;3,09643
-200;-0,794328;0,0000000935596;0,0000000301677;-1,97524;-0,794328;2,48668
-200;-1;0,000000117695;0,0000000475597;-1,99703;-1;1,99703
-200;-1,25893;0,000000173944;0,000000174978;-2,01915;-1,25893;1,60387
-200;-1,58489;0,000000218567;0,00000025733;-2,04169;-1,58489;1,28822
-200;-1,99526;0,0000002651;0,0000000393234;-2,06475;-1,99526;1,03483
-200;-2,51189;0,000000340134;0,0000000591471;-2,08849;-2,51189;0,831445
-200;-3,16228;0,000000365389;0,000000488111;-2,11309;-3,16228;0,668217
-200;-3,98107;0,000000566898;0,000000982264;-2,13877;-3,98107;0,537234
-200;-5,01187;0,000000777863;0,000000826062;-2,16583;-5,01187;0,43214
-200;-6,30957;0,000000926421;0,000000982761;-2,19467;-6,30957;0,347832
-200;-7,94328;0,00000123673;0,000000791369;-2,22583;-7,94328;0,280215
-200;-10;0,00000142743;0,00000229065;-2,26031;-10;0,226031
-200;-12,5893;0,0000020048;0,00000144095;-2,29791;-12,5893;0,18253
-200;-15,8489;0,00000240468;0,00000325182;-2,34043;-15,8489;0,147671
-200;-19,9526;0,00000289666;0,000000410384;-2,39008;-19,9526;0,119788
-200;-25,1189;0,00000365005;0,000000854443;-2,44901;-25,1189;0,0974967
-200;-31,6228;0,00000536963;0,00000625213;-2,51691;-31,6228;0,0795916
-200;-39,8107;0,00000685464;0,00000853436;-2,60121;-39,8107;0,0653394
-200;-50,1187;0,00000924402;0,00000928013;-2,70396;-50,1187;0,053951
-200;-63,0957;0,0000126456;0,00000814075;-2,8308;-63,0957;0,0448652
