vds;ids;eon;eoff;vdsreal;idsreal;rdson
-601;-0,1;7,36205E-10;0,000000244648;-0,249606;-0,0999585;2,4971
-601;-0,125893;0,0000000416874;0,00000032931;-0,264769;-0,125837;2,10406
-601;-0,158489;0,0000000244617;0,000000437601;-0,280019;-0,158415;1,76763
-601;-0,199526;0,00000000395113;0,000000579622;-0,295321;-0,199428;1,48084
-601;-0,251189;0,000000144656;0,00000077578;-0,310745;-0,251059;1,23774
-601;-0,316228;0,0000000055653;0,00000102371;-0,326195;-0,316056;1,03208
-601;-0,398107;0,00000000562007;0,00000135567;-0,34175;-0,397881;0,858925
-601;-0,501187;0,000000310169;0,00000178763;-0,357388;-0,500889;0,713506
-601;-0,630957;0,00000000646958;0,00000234491;-0,373079;-0,630566;0,591657
-601;-0,794328;0,0000000124245;0,00000309789;-0,38889;-0,793814;0,4899
-601;-1;0,00000000690442;0,00000401722;-0,405283;-0,999326;0,405556
-601;-1,25893;0,0000000129611;0,00000526809;-0,421035;-1,25804;0,334674
-601;-1,58489;0,0000000109448;0,00000688737;-0,437554;-1,58374;0,276279
-601;-1,99526;0,0000000491938;0,00000903247;-0,453752;-1,99376;0,227587
-601;-2,51189;0,0000000261667;0,0000121512;-0,470985;-2,50992;0,187649
-601;-3,16228;0,0000000562111;0,0000156219;-0,489133;-3,1597;0,154804
-601;-3,98107;0,0000000838778;0,0000202262;-0,590751;-3,97716;0,148536
-601;-5,01187;0,000000117001;0,000026117;-0,642101;-5,00652;0,128253
-601;-6,30957;0,000000194591;0,0000344378;-0,527432;-6,30404;0,0836658
-601;-7,94328;0,000000251313;0,0000450584;-0,485143;-7,93687;0,0611253
-601;-10;0,000000387603;0,0000579078;-0,607629;-9,98989;0,0608244
-601;-12,5893;0,000000658914;0,0000768774;-0,609469;-12,5765;0,048461
-601;-15,8489;0,00000124473;0,000100237;-0,644056;-15,8319;0,0406808
-601;-19,9526;0,00000158319;0,000130442;-0,648781;-19,9311;0,0325512
-601;-25,1189;0,00000189348;0,000174905;-0,698622;-25,0897;0,027845
-601;-31,6228;0,00000287597;0,000227861;-0,733341;-31,5842;0,0232186
-601;-39,8107;0,00000443624;0,000308281;-0,77348;-39,7595;0,019454
-601;-50,1187;0,00000684034;0,000409323;-0,819984;-50,0503;0,0163832
-601;-63,0957;0,0000107882;0,000553622;-0,876003;-63,0038;0,013904
-601;-79,4328;0,0000167304;0,000736579;-0,941975;-79,3083;0,0118774
-601;-100;0,0000261007;0,00101954;-1,02123;-99,8301;0,0102297
