vds;ids;eon;eoff;vdsreal;idsreal;rdson
-601;-0,1;0,0000000917035;0,00000000783393;-0,489317;-0,1;4,89317
-601;-0,125893;0,000000118438;0,00000000620605;-0,500924;-0,125893;3,97898
-601;-0,158489;0,000000153961;0,00000000437134;-0,512552;-0,158489;3,23398
-601;-0,199526;0,000000196911;0,00000000867829;-0,524194;-0,199526;2,62719
-601;-0,251189;0,000000256457;0,000000033841;-0,535876;-0,251189;2,13336
-601;-0,316228;0,000000341113;0,0000000168543;-0,547571;-0,316228;1,73157
-601;-0,398107;0,00000043016;0,000000018303;-0,559328;-0,398107;1,40497
-601;-0,501187;0,000000554721;0,0000000378229;-0,571121;-0,501187;1,13954
-601;-0,630957;0,000000703874;0,0000000344841;-0,583003;-0,630957;0,923997
-601;-0,794328;0,000000901839;0,0000000382893;-0,594976;-0,794328;0,74903
-601;-1;0,00000116115;0,0000000897769;-0,607021;-1;0,607021
-601;-1,25893;0,0000014972;0,0000000655921;-0,619268;-1,25893;0,491902
-601;-1,58489;0,00000197712;0,0000000973965;-0,631631;-1,58489;0,398532
-601;-1,99526;0,0000024857;0,000000277876;-0,644328;-1,99526;0,322929
-601;-2,51189;0,00000329155;0,000000291674;-0,657071;-2,51189;0,261585
-601;-3,16228;0,00000411649;0,000000574176;-0,838781;-3,16228;0,265246
-601;-3,98107;0,00000553419;0,000000458586;-0,683944;-3,98107;0,171799
-601;-5,01187;0,00000702223;0,000000489402;-0,698403;-5,01187;0,13935
-601;-6,30957;0,00000863943;0,00000116744;-0,712989;-6,30957;0,113001
-601;-7,94328;0,0000115832;0,000000627637;-0,729122;-7,94328;0,091791
-601;-10;0,0000151408;0,00000125209;-0,746162;-10;0,0746162
-601;-12,5893;0,000019834;0,00000248581;-0,76459;-12,5893;0,0607335
-601;-15,8489;0,0000249053;0,00000243533;-0,78463;-15,8489;0,0495068
-601;-19,9526;0,0000656634;0,00000108434;-0,962381;-19,9526;0,0482333
-601;-25,1189;0,0000967966;0,00000400775;-0,179681;-25,1189;0,00715321
-601;-31,6228;0,000159466;0,00000677745;-0,321191;-31,6228;0,010157
-601;-39,8107;0,000242856;0,0000480298;-4,00768;-39,8107;0,100668
-601;-50,1187;0,000387202;0,0000393956;-3,23199;-50,1187;0,0644866
